experiment,prediction_idx,euclidean_px,angular_deg
ResNet-18 (baseline),15,82.4429,54.7342
ResNet-18 (baseline),16,15.5059,13.3612
ResNet-18 (baseline),17,70.8161,59.207
ResNet-18 (baseline),18,11.7689,23.6407
ResNet-18 (baseline),19,102.1378,59.5365
ResNet-18 (baseline),20,34.7499,17.0495
ResNet-18 (baseline),21,37.6939,16.6312
ResNet-18 (baseline),22,15.9934,18.5341
ResNet-18 (baseline),23,42.2931,19.4675
ResNet-18 (baseline),24,8.8374,22.509
ResNet-18 (baseline),25,66.9778,22.1318
ResNet-18 (baseline),26,87.0672,22.3871
ResNet-18 (baseline),27,16.7187,20.1954
ResNet-18 (baseline),28,254.146,6.3693
ResNet-18 (baseline),29,70.7652,1.3901
ResNet-18 (baseline),30,273.4662,50.9196
ResNet-18 (baseline),31,317.8823,50.1433
ResNet-18 (baseline),32,113.8235,3.8553
ResNet-18 (baseline),33,41.8067,8.4015
ResNet-18 (baseline),34,67.4653,0.7376
ResNet-18 (baseline),35,52.2469,8.0481
ResNet-18 (baseline),36,59.4445,1.2578
ResNet-18 (baseline),37,43.1682,6.2335
ResNet-18 (baseline),38,52.7223,4.5736
ResNet-18 (baseline),39,23.2433,3.3051
ResNet-18 (baseline),40,202.0932,39.5573
ResNet-18 (baseline),41,78.3782,1.2582
ResNet-18 (baseline),42,189.0144,36.8795
ResNet-18 (baseline),43,113.1054,0.9105
ResNet-18 (baseline),44,187.9662,37.1572
ResNet-18 (baseline),45,138.8688,1.2319
ResNet-18 (baseline),46,153.643,41.0619
ResNet-18 (baseline),47,97.6688,0.1397
ResNet-18 (baseline),48,94.8271,38.2542
ResNet-18 (baseline),49,98.5753,0.9814
ResNet-18 (baseline),50,106.1822,34.7739
ResNet-18 (baseline),51,153.4881,6.3908
ResNet-18 (baseline),52,65.5112,27.1344
ResNet-18 (baseline),53,182.7973,18.6196
ResNet-18 (baseline),54,84.1831,44.2597
ResNet-18 (baseline),55,219.5213,15.0385
ResNet-18 (baseline),56,107.1679,1.0152
ResNet-18 (baseline),57,163.665,59.2299
ResNet-18 (baseline),58,84.1067,0.4536
ResNet-18 (baseline),59,188.5752,61.0375
ResNet-18 (baseline),60,230.3515,6.797
ResNet-18 (baseline),61,211.1902,26.3072
ResNet-18 (baseline),62,257.5964,7.7809
ResNet-18 (baseline),63,208.5421,26.6969
ResNet-18 (baseline),64,277.4447,8.1705
ResNet-18 (baseline),65,224.0279,29.4799
ResNet-18 (baseline),66,291.1871,10.8091
ResNet-18 (baseline),67,215.9279,31.1538
ResNet-18 (baseline),68,290.2367,2.6249
ResNet-18 (baseline),69,227.3965,16.9597
ResNet-18 (baseline),70,299.4634,3.0591
ResNet-18 (baseline),71,201.9755,15.9333
ResNet-18 (baseline),72,285.6669,1.7918
ResNet-18 (baseline),73,193.3395,19.4046
ResNet-18 (baseline),74,231.3244,6.3904
ResNet-18 (baseline),75,101.3621,22.1303
ResNet-18 (baseline),76,83.4548,36.8188
ResNet-18 (baseline),77,124.6384,47.2831
ResNet-18 (baseline),78,73.1076,23.5645
ResNet-18 (baseline),79,133.8405,41.7973
ResNet-18 (baseline),80,76.7478,15.377
ResNet-18 (baseline),81,125.0243,71.558
ResNet-18 (baseline),82,231.5633,26.9547
ResNet-18 (baseline),83,107.1276,127.2642
ResNet-18 (baseline),84,160.5326,27.6702
ResNet-18 (baseline),85,276.2586,158.4322
ResNet-18 (baseline),86,338.0171,26.1436
ResNet-18 (baseline),87,202.0099,143.089
ResNet-18 (baseline),88,245.3686,60.1555
ResNet-18 (baseline),89,236.6417,136.4299
ResNet-18 (baseline),90,224.937,160.9077
ResNet-18 (baseline),91,288.9682,99.9632
ResNet-18 (baseline),92,76.3044,2.5183
ResNet-18 (baseline),93,27.1675,6.0257
ResNet-18 (baseline),94,64.5743,1.2242
ResNet-18 (baseline),95,42.1329,3.8438
ResNet-18 (baseline),96,59.2087,0.3803
ResNet-18 (baseline),97,65.3282,2.8725
ResNet-18 (baseline),98,25.5468,0.4127
ResNet-18 (baseline),99,28.7137,2.788
No pre-training,0,103.8944,6.2051
No pre-training,1,245.0559,33.7719
No pre-training,2,26.4318,11.2308
No pre-training,3,166.9465,35.2146
No pre-training,4,30.3467,20.878
No pre-training,5,114.4962,14.0887
No pre-training,6,53.1858,24.4801
No pre-training,7,89.9289,11.4087
No pre-training,8,59.5922,31.8504
No pre-training,9,98.1494,17.7503
No pre-training,10,83.3355,46.2967
No pre-training,11,111.0882,22.8007
No pre-training,12,113.3807,32.3425
No pre-training,13,100.6687,63.9797
No pre-training,14,90.459,45.6127
No pre-training,15,105.3538,12.5574
No pre-training,16,60.7174,41.4143
No pre-training,17,123.3446,19.0708
No pre-training,18,47.6941,38.4717
No pre-training,19,165.7182,27.4212
No pre-training,20,32.5189,7.5971
No pre-training,21,75.1443,3.5746
No pre-training,22,36.0582,12.1941
No pre-training,23,115.0762,10.2138
No pre-training,24,69.2822,30.0284
No pre-training,25,153.2733,26.7461
No pre-training,26,270.1504,19.5918
No pre-training,27,132.8191,53.0852
No pre-training,28,374.5752,29.9994
No pre-training,29,171.9435,44.5974
No pre-training,30,435.1044,47.5405
No pre-training,31,239.9742,45.856
No pre-training,32,139.0661,4.8108
No pre-training,33,78.8682,12.9018
No pre-training,34,105.7938,1.5292
No pre-training,35,88.6983,5.4381
No pre-training,36,86.4872,0.8049
No pre-training,37,77.1989,3.8199
No pre-training,38,46.1012,4.7715
No pre-training,39,63.6946,1.9995
No pre-training,40,61.5122,60.0024
No pre-training,41,110.4446,7.9092
No pre-training,42,55.4901,59.5998
No pre-training,43,109.7138,10.2264
No pre-training,44,19.901,59.8574
No pre-training,45,98.9073,19.0885
No pre-training,46,11.44,59.4436
No pre-training,47,96.5992,19.4122
No pre-training,48,10.3569,58.9718
No pre-training,49,113.0992,14.2907
No pre-training,50,26.4375,56.7935
No pre-training,51,121.7113,7.082
No pre-training,52,177.3935,35.4031
No pre-training,53,291.494,10.5168
No pre-training,54,272.866,36.8833
No pre-training,55,293.3021,23.3771
No pre-training,56,163.5502,17.2405
No pre-training,57,107.275,49.3052
No pre-training,58,112.23,23.5523
No pre-training,59,27.4984,52.6797
No pre-training,60,207.9996,6.1576
No pre-training,61,225.1128,26.6561
No pre-training,62,224.9197,4.6659
No pre-training,63,256.8414,28.2515
No pre-training,64,240.3762,3.4173
No pre-training,65,259.0087,25.855
No pre-training,66,243.9574,5.061
No pre-training,67,260.6459,24.6413
No pre-training,68,247.7919,4.9519
No pre-training,69,269.285,25.8581
No pre-training,70,258.959,11.8404
No pre-training,71,267.1704,29.5496
No pre-training,72,270.1929,7.7272
No pre-training,73,303.52,33.4882
No pre-training,74,275.9453,12.8525
No pre-training,75,281.1035,25.4475
No pre-training,76,167.7485,22.6589
No pre-training,77,281.3427,41.6067
No pre-training,78,130.8092,24.2423
No pre-training,79,246.6685,40.7953
No pre-training,80,176.1065,41.4133
No pre-training,81,227.392,7.6585
No pre-training,82,226.4323,27.4373
No pre-training,83,273.8186,7.6671
No pre-training,84,241.6267,26.9906
No pre-training,85,382.4774,6.6715
No pre-training,86,281.3752,30.209
No pre-training,87,270.2836,26.6265
No pre-training,88,349.8478,26.2006
No pre-training,89,238.2547,33.0675
No pre-training,90,233.6661,28.5889
No pre-training,91,385.3296,22.4981
No pre-training,92,104.7002,9.1909
No pre-training,93,81.4313,12.7716
No pre-training,94,127.06,6.2958
No pre-training,95,110.2212,12.125
No pre-training,96,90.1666,4.5297
No pre-training,97,103.7537,6.4964
No pre-training,98,67.8082,5.3079
No pre-training,99,66.6348,5.4122
ResNet-18 + augmentation,0,276.4383,86.8923
ResNet-18 + augmentation,1,189.9919,169.8076
ResNet-18 + augmentation,2,257.7519,89.5333
ResNet-18 + augmentation,3,176.4615,174.2757
ResNet-18 + augmentation,4,239.4693,99.1215
ResNet-18 + augmentation,5,159.4765,179.272
ResNet-18 + augmentation,6,238.6756,98.2869
ResNet-18 + augmentation,7,160.918,175.7248
ResNet-18 + augmentation,8,237.1706,96.3069
ResNet-18 + augmentation,9,159.925,171.5258
ResNet-18 + augmentation,10,204.3793,173.9777
ResNet-18 + augmentation,11,223.1071,75.2341
ResNet-18 + augmentation,12,233.5103,68.861
ResNet-18 + augmentation,13,189.1231,176.6007
ResNet-18 + augmentation,14,225.8138,63.132
ResNet-18 + augmentation,15,180.8625,179.9771
ResNet-18 + augmentation,16,212.6245,56.0463
ResNet-18 + augmentation,17,173.4857,176.124
ResNet-18 + augmentation,18,213.4652,48.7584
ResNet-18 + augmentation,19,172.6448,171.5311
ResNet-18 + augmentation,20,356.4552,0.0599
ResNet-18 + augmentation,21,378.1536,127.3387
ResNet-18 + augmentation,22,340.1772,3.6576
ResNet-18 + augmentation,23,374.7512,123.4571
ResNet-18 + augmentation,24,318.4703,6.6559
ResNet-18 + augmentation,25,376.6326,120.0266
ResNet-18 + augmentation,26,371.448,116.8127
ResNet-18 + augmentation,27,288.5363,9.5433
ResNet-18 + augmentation,28,373.2456,115.3727
ResNet-18 + augmentation,29,286.8418,11.2698
ResNet-18 + augmentation,30,366.6989,111.8372
ResNet-18 + augmentation,31,274.6047,12.8153
ResNet-18 + augmentation,32,358.9878,86.7842
ResNet-18 + augmentation,33,345.2726,9.2792
ResNet-18 + augmentation,34,322.6869,42.2188
ResNet-18 + augmentation,35,356.5179,22.938
ResNet-18 + augmentation,36,334.2567,53.3977
ResNet-18 + augmentation,37,361.5687,19.106
ResNet-18 + augmentation,38,343.0537,33.8416
ResNet-18 + augmentation,39,367.9669,23.7297
ResNet-18 + augmentation,40,101.6049,115.0228
ResNet-18 + augmentation,41,283.3015,127.7568
ResNet-18 + augmentation,42,125.1352,114.2812
ResNet-18 + augmentation,43,281.5491,106.4939
ResNet-18 + augmentation,44,177.6624,114.5782
ResNet-18 + augmentation,45,277.4985,103.8861
ResNet-18 + augmentation,46,193.8683,108.2355
ResNet-18 + augmentation,47,279.3343,74.5246
ResNet-18 + augmentation,48,13.8809,32.1247
ResNet-18 + augmentation,49,356.5533,63.0059
ResNet-18 + augmentation,50,42.8927,50.2547
ResNet-18 + augmentation,51,347.273,74.4037
ResNet-18 + augmentation,52,75.5208,86.3532
ResNet-18 + augmentation,53,281.1957,113.5871
ResNet-18 + augmentation,54,77.7721,115.9907
ResNet-18 + augmentation,55,292.1221,144.6326
ResNet-18 + augmentation,56,296.3409,152.4196
ResNet-18 + augmentation,57,78.5896,118.417
ResNet-18 + augmentation,58,298.0492,161.7981
ResNet-18 + augmentation,59,76.5412,118.8552
ResNet-18 + augmentation,60,201.7934,126.9286
ResNet-18 + augmentation,61,162.381,51.1527
ResNet-18 + augmentation,62,177.4524,126.1149
ResNet-18 + augmentation,63,134.5965,77.0165
ResNet-18 + augmentation,64,69.6767,134.5172
ResNet-18 + augmentation,65,187.2878,72.0854
ResNet-18 + augmentation,66,18.5596,127.2952
ResNet-18 + augmentation,67,189.0623,66.617
ResNet-18 + augmentation,68,33.6246,98.1278
ResNet-18 + augmentation,69,182.5697,66.1465
ResNet-18 + augmentation,70,68.6743,68.5272
ResNet-18 + augmentation,71,151.481,67.7323
ResNet-18 + augmentation,72,117.1547,138.43
ResNet-18 + augmentation,73,104.5174,67.4141
ResNet-18 + augmentation,74,183.1276,133.8884
ResNet-18 + augmentation,75,164.3093,80.4875
ResNet-18 + augmentation,76,144.5136,51.558
ResNet-18 + augmentation,77,159.7346,13.6342
ResNet-18 + augmentation,78,132.7616,52.7366
ResNet-18 + augmentation,79,159.3759,17.532
ResNet-18 + augmentation,80,303.6666,139.8661
ResNet-18 + augmentation,81,340.0273,158.6361
ResNet-18 + augmentation,82,297.8814,135.135
ResNet-18 + augmentation,83,320.5508,154.9587
ResNet-18 + augmentation,84,263.8875,154.9292
ResNet-18 + augmentation,85,331.9274,170.0796
ResNet-18 + augmentation,86,267.2583,108.8497
ResNet-18 + augmentation,87,272.3885,48.1554
ResNet-18 + augmentation,88,258.4887,63.8592
ResNet-18 + augmentation,89,175.0747,55.0675
ResNet-18 + augmentation,90,201.7309,61.5609
ResNet-18 + augmentation,91,279.7127,68.6148
ResNet-18 + augmentation,92,433.1075,123.7492
ResNet-18 + augmentation,93,192.3606,58.6154
ResNet-18 + augmentation,94,598.7464,95.868
ResNet-18 + augmentation,95,202.1197,54.287
ResNet-18 + augmentation,96,637.1779,49.9669
ResNet-18 + augmentation,97,255.2258,51.1603
ResNet-18 + augmentation,98,624.3998,50.2943
ResNet-18 + augmentation,99,246.2374,51.0036
